ric,ticker,isin,exchange_name,tracking_status,price_ingest_enabled,pit_fundamentals_enabled,pit_classification_enabled,allow_cuse_native_core,allow_cuse_fundamental_projection,allow_cuse_returns_projection,allow_cpar_core_target,allow_cpar_extended_target
04MF.TXEA,04MF,US75605Y1064,TRAX APA (Mon To Sun),active,1,1,1,1,0,0,1,1
08DMM2^2,EMD,,CME:Index and Options Market,active,1,1,1,1,0,0,1,1
0J2XL.BCU,0J2XL,US4103451021,BATS Europe,active,1,1,1,1,0,0,1,1
0K4.SG,0K4,US00973Y1082,Stuttgart Stock Exchange,active,1,1,1,1,0,0,1,1
0US7.L,0US7,US69946T2078,London Stock Exchange,active,1,1,1,1,0,0,1,1
1V3F.TRE,1V3F,US22207T1016,London Stock Exchange,active,1,1,1,1,0,0,1,1
23IF.TPRM,23IF,US46116X1019,TPICAP,active,1,1,1,1,0,0,1,1
2BVF.TPRM,2BVF,US10921T1016,TPICAP,active,1,1,1,1,0,0,1,1
2NJF.ICEM,2NJF,US22304C1009,TPICAP,active,1,1,1,1,0,0,1,1
358F.TRE,358F,US05875B1061,London Stock Exchange,active,1,1,1,1,0,0,1,1
36MMU.TPRM,36MMU,US82489T1043,TPICAP,active,1,1,1,1,0,0,1,1
39LF.TPRM,39LF,US71639T1060,TPICAP,active,1,1,1,1,0,0,1,1
3V8F.ICEM,3V8F,US86184W1062,TPICAP,active,1,1,1,1,0,0,1,1
47YSG.TRE,47YSG,US9234511080,London Stock Exchange,active,1,1,1,1,0,0,1,1
4KSH.TRE,4KSH,US92719V1008,London Stock Exchange,active,1,1,1,1,0,0,1,1
4NOF.ICEM,4NOF,US64051T1007,TPICAP,active,1,1,1,1,0,0,1,1
5TCF.TRE,5TCF,US89785L1070,London Stock Exchange,active,1,1,1,1,0,0,1,1
6FEF.TPRM,6FEF,US83001A1025,TPICAP,active,1,1,1,1,0,0,1,1
6M6F.ICEM,6M6F,US9490901041,TPICAP,active,1,1,1,1,0,0,1,1
6PMBE.TRE,6PMBE,US69924R1086,London Stock Exchange,active,1,1,1,1,0,0,1,1
A.N,A,US00846U1016,New York Stock Exchange,active,1,1,1,1,0,0,1,1
AA.N,AA,US0138721065,New York Stock Exchange,active,1,1,1,1,0,0,1,1
AACC.OQ,AACC,,,active,1,1,1,1,0,0,1,1
AAI.N,AAI,,,active,1,1,1,1,0,0,1,1
AAI.TH,AAI,,,active,1,1,1,1,0,0,1,1
AAL.OQ,AAL,US02376R1023,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
AAMI.N,AAMI,US10948W1036,New York Stock Exchange,active,1,1,1,1,0,0,1,1
AAOI.OQ,AAOI,US03823U1025,NASDAQ Stock Exchange Global Market,active,1,1,1,1,0,0,1,1
AAON.OQ,AAON,US0003602069,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
AAP.N,AAP,US00751Y1064,New York Stock Exchange,active,1,1,1,1,0,0,1,1
AAPL.OQ,AAPL,US0378331005,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
AARD.OQ,AARD,US0029421007,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
AAT.N,AAT,US0240131047,New York Stock Exchange,active,1,1,1,1,0,0,1,1
AATI.II,AATI,,,active,1,1,1,1,0,0,1,1
AA_W.II,AA_W,,,active,1,1,1,1,0,0,1,1
ABAT.OQ,ABAT,US02451V3096,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
ABBCD.OQ,ABBCD,,,active,1,1,1,1,0,0,1,1
ABBV.N,ABBV,US00287Y1091,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ABC.II,ABC,,,active,1,1,1,1,0,0,1,1
ABCB.N,ABCB,US03076K1088,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ABCD.OQ,ABCD,,,active,1,1,1,1,0,0,1,1
ABCO.OQ,ABCO,,,active,1,1,1,1,0,0,1,1
ABCW.OQ,ABCW,,,active,1,1,1,1,0,0,1,1
ABEO.OQ,ABEO,US00289Y2063,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
ABG.N,ABG,US0434361046,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ABI.II,ABI,,,active,1,1,1,1,0,0,1,1
ABK.II,ABK,,,active,1,1,1,1,0,0,1,1
ABM.N,ABM,US0009571003,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ABMD.O^L22,ABMD,US0036541003,Consolidated Issue Listed on Nasdaq Global Select Market,active,1,1,1,1,0,0,1,1
ABNB.OQ,ABNB,US0090661010,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ABOS.OQ,ABOS,US00509G2093,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ABR.N,ABR,US0389231087,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ABSI.OQ,ABSI,US00091E1091,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ABT.N,ABT,US0028241000,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ABUS.OQ,ABUS,CA03879J1003,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ABX.N,ABX,US00258Y1047,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ABXA.II,ABXA,,,active,1,1,1,1,0,0,1,1
ACA.N,ACA,US0396531008,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ACAD.OQ,ACAD,US0042251084,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ACAP.O,ACAP,,,active,1,1,1,1,0,0,1,1
ACAS.OQ,ACAS,,,active,1,1,1,1,0,0,1,1
ACCAF.TPRM,ACCAF,US03940R1077,TPICAP,active,1,1,1,1,0,0,1,1
ACCL.OQ,ACCL,KYG0069D1108,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
ACCO.N,ACCO,US00081T1088,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ACCRD.CJ,ACCRD,US45816D1000,Costa Rica Exchange,active,1,1,1,1,0,0,1,1
ACDC.OQ,ACDC,US74319N1000,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ACE.II,ACE,,,active,1,1,1,1,0,0,1,1
ACEL.N,ACEL,US00436Q1067,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ACET.OQ,ACET,US0070022076,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
ACF.N,ACF,,,active,1,1,1,1,0,0,1,1
ACFN.OQ,ACFN,US0048482063,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
ACGL.OQ,ACGL,BMG0450A1053,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ACGP.PK,ACGP,US0455281065,USA Pink Sheets,active,1,1,1,1,0,0,1,1
ACH.N,ACH,US6907321029,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ACHC.OQ,ACHC,US00404A1097,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ACHR.N,ACHR,US03945R1023,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ACI.N,ACI,US0130911037,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ACIC.OQ,ACIC,US9107101027,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
ACIW.OQ,ACIW,US0044981019,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ACLS.OQ,ACLS,US0545402085,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ACLX.OQ,ACLX,US03940C1009,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ACM.N,ACM,US00766T1007,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ACMR.OQ,ACMR,US00108J1097,NASDAQ Stock Exchange Global Market,active,1,1,1,1,0,0,1,1
ACN.N,ACN,IE00B4BNMY34,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ACNB.OQ,ACNB,US0008681092,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
ACNT.OQ,ACNT,US8715651076,NASDAQ Stock Exchange Global Market,active,1,1,1,1,0,0,1,1
ACO.N,ACO,,,active,1,1,1,1,0,0,1,1
ACOM.OQ,ACOM,,,active,1,1,1,1,0,0,1,1
ACR.N,ACR,US00489Q1022,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ACRE.N,ACRE,US04013V1089,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ACRS.OQ,ACRS,US00461U1051,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ACS.II,ACS,,,active,1,1,1,1,0,0,1,1
ACT.OQ,ACT,US29249E1091,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ACTA.OQ,ACTA,,,active,1,1,1,1,0,0,1,1
ACTG.OQ,ACTG,US0038813079,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ACTL.OQ,ACTL,,,active,1,1,1,1,0,0,1,1
ACTU.OQ,ACTU,US0050831009,NASDAQ Stock Exchange Global Market,active,1,1,1,1,0,0,1,1
ACTV.N,ACTV,US90214Q7170,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ACU.A,ACU,US0048161048,American Stock Exchange,active,1,1,1,1,0,0,1,1
ACVA.N,ACVA,US00091G1040,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ACV^E11,ACV,US0130781000,New York Consolidated,active,1,1,1,1,0,0,1,1
ACW.N,ACW,,,active,1,1,1,1,0,0,1,1
ACW.PH,ACW,,,active,1,1,1,1,0,0,1,1
AD,AD,US9116841084,New York Consolidated,active,1,1,1,1,0,0,1,1
ADAM.OQ,ADAM,US6496048405,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ADBE.OQ,ADBE,US00724F1012,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ADC.N,ADC,US0084921008,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ADCT.N,ADCT,CH0499880968,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ADCT.O^L10,ADCT,US0008863096,Consolidated Issue Listed on Nasdaq Global Select Market,active,1,1,1,1,0,0,1,1
ADEA.OQ,ADEA,US00676P1075,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ADES.OQ,ADES,,,active,1,1,1,1,0,0,1,1
ADGE.A,ADGE,,,active,1,1,1,1,0,0,1,1
ADI.OQ,ADI,US0326541051,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ADM.N,ADM,US0394831020,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ADMA.OQ,ADMA,US0008991046,NASDAQ Stock Exchange Global Market,active,1,1,1,1,0,0,1,1
ADNC.OQ,ADNC,,,active,1,1,1,1,0,0,1,1
ADNT.N,ADNT,IE00BD845X29,New York Stock Exchange,active,1,1,1,1,0,0,1,1
ADP.II,ADP,,,active,1,1,1,1,0,0,1,1
ADP.OQ,ADP,US0530151036,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ADPI.OQ,ADPI,,,active,1,1,1,1,0,0,1,1
ADPT.OQ,ADPT,US00650F1093,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ADPTDE.INS,ADPTDE,,,active,1,1,1,1,0,0,1,1
ADSK.IX,ADSK,,,active,1,1,1,1,0,0,1,1
ADSK.OQ,ADSK,US0527691069,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ADTN.OQ,ADTN,US00486H1059,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ADTNDE.INS,ADTNDE,,,active,1,1,1,1,0,0,1,1
ADUS.OQ,ADUS,US0067391062,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ADV.OQ,ADV,US00791N1028,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
ADVNB.OQ,ADVNB,,,active,1,1,1,1,0,0,1,1
ADVS.O^G15,ADVS,US0079741080,Consolidated Issue Listed on Nasdaq Global Select Market,active,1,1,1,1,0,0,1,1
ADY.P,ADY,,,active,1,1,1,1,0,0,1,1
AEBASG.TRE,AEBASG,US0185223007,London Stock Exchange,active,1,1,1,1,0,0,1,1
AEBI.OQ,AEBI,CH0027352993,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
AEC.N,AEC,CA03464C2058,New York Stock Exchange,active,1,1,1,1,0,0,1,1
AEE.II,AEE,US02361DAH35,,active,1,1,1,1,0,0,1,1
AEE.N,AEE,US0236081024,New York Stock Exchange,active,1,1,1,1,0,0,1,1
AEGR.OQ,AEGR,,,active,1,1,1,1,0,0,1,1
AEHR.OQ,AEHR,US00760J1088,NASDAQ Stock Exchange Capital Market,active,1,1,1,1,0,0,1,1
AEIS.OQ,AEIS,US0079731008,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
AEO.N,AEO,US02553E1064,New York Stock Exchange,active,1,1,1,1,0,0,1,1
AEP.OQ,AEP,US0255371017,Nasdaq Stock Exchange Global Select Market,active,1,1,1,1,0,0,1,1
AEPI.OQ,AEPI,,,active,1,1,1,1,0,0,1,1
AEPI.P,AEPI,,,active,1,1,1,1,0,0,1,1
